Movie_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes,Gross,Num_Genres
The Last Emperor,1987,G,163,Biography,7.7,76.0,Bernardo Bertolucci,John Lone,94326,43984230,3
Empire of the Sun,1987,G,153,Action,7.7,62.0,Steven Spielberg,Christian Bale,115677,22238696,3
Der Name der Rose,1986,R,130,Crime,7.7,54.0,Jean-Jacques Annaud,Sean Connery,102031,7153487,3
Blue Velvet,1986,R,120,Drama,7.7,76.0,David Lynch,Isabella Rossellini,181285,8551228,3
The Purple Rose of Cairo,1985,G,82,Comedy,7.7,75.0,Woody Allen,Mia Farrow,47102,10631333,3
After Hours,1985,PG-13,97,Comedy,7.7,90.0,Martin Scorsese,Griffin Dunne,59635,10600000,3
The Verdict,1982,G,129,Drama,7.7,77.0,Sidney Lumet,Paul Newman,36096,54000000,1
Star Trek II: The Wrath of Khan,1982,G,113,Action,7.7,67.0,Nicholas Meyer,William Shatner,112704,78912963,3
First Blood,1982,R,93,Action,7.7,61.0,Ted Kotcheff,Sylvester Stallone,226541,47212904,2
Ordinary People,1980,G,124,Drama,7.7,86.0,Robert Redford,Donald Sutherland,47099,54800000,1
Airplane!,1980,G,88,Comedy,7.7,78.0,Jim Abrahams,David Zucker,214882,83400000,1
Halloween,1978,R,91,Horror,7.7,87.0,John Carpenter,Donald Pleasence,233106,47000000,2
Le locataire,1976,R,126,Drama,7.7,71.0,Roman Polanski,Roman Polanski,39889,1924733,2
Blazing Saddles,1974,R,93,Comedy,7.7,73.0,Mel Brooks,Cleavon Little,125993,119500000,2
Serpico,1973,R,130,Biography,7.7,87.0,Sidney Lumet,Al Pacino,109941,29800000,3
Enter the Dragon,1973,R,102,Action,7.7,83.0,Robert Clouse,Bruce Lee,96561,25000000,3
Deliverance,1972,G,109,Adventure,7.7,80.0,John Boorman,Jon Voight,98740,7056013,3
The French Connection,1971,R,104,Action,7.7,94.0,William Friedkin,Gene Hackman,110075,15630710,3
Dirty Harry,1971,R,102,Action,7.7,90.0,Don Siegel,Clint Eastwood,143292,35900000,3
The Odd Couple,1968,G,105,Comedy,7.7,86.0,Gene Saks,Jack Lemmon,31572,44527234,1
A Man for All Seasons,1966,G,120,Biography,7.7,72.0,Fred Zinnemann,Paul Scofield,31222,28350000,3
Goldfinger,1964,R,110,Action,7.7,87.0,Guy Hamilton,Sean Connery,174119,51081062,3
The Birds,1963,R,119,Drama,7.7,90.0,Alfred Hitchcock,Rod Taylor,171739,11403529,3
The Magnificent Seven,1960,PG,128,Action,7.7,74.0,John Sturges,Yul Brynner,87719,4905000,3
The African Queen,1951,PG,105,Adventure,7.7,91.0,John Huston,Humphrey Bogart,71481,536118,3
Fantasia,1940,G,125,Animation,7.7,96.0,James Algar,Samuel Armstrong,88662,76408097,3
Searching,2018,PG-13,102,Drama,7.6,71.0,Aneesh Chaganty,John Cho,140840,26020957,3
